83,433,130,27
84,430,130,27
85,427,130,27
88,431,127,27
88,435,126,27
89,416,130,27
89,424,128,27
89,428,127,27
90,413,130,27
90,421,128,27
91,435,124,27
92,408,130,27
92,420,127,27
92,424,126,27
93,413,128,27
93,417,127,27
93,434,123,27
94,427,124,27
94,431,123,27
95,400,130,27
95,408,128,27
95,412,127,27
95,416,126,27
95,424,124,27
95,433,122,27
96,430,122,27
97,395,130,27
97,419,124,27
97,423,123,27
98,400,128,27
98,404,127,27
98,408,126,27
98,429,121,27
99,390,130,27
99,418,123,27
99,422,122,27
99,431,120,27
